,,,,,,,,,,,
,p010,,,,p008,,,,p012,,
,R4(s4),정답,사용자답,,R1(s3),정답,사용자답,,R3(s3),정답,사용자답
,"화면에 표시된 폐기물이 종이인가요?=T 
 화면에 표시된 폐기물이 종이인가요?=T","T
 T","T
 T",,"화면에 표시된 폐기물이 플라스틱인가요?=T 
 화면에 표시된 폐기물이 플라스틱인가요?=T 
 화면에 표시된 폐기물이 종이인가요?=T","T
T
T","T
T
T",,"화면에 표시된 폐기물이 플라스틱인가요?=T 
 화면에 표시된 폐기물이 플라스틱인가요?=T 
 화면에 표시된 폐기물이 종이인가요?=T","T
 T
 T","T
 T
 T"
,,,,,로봇 손이 폐기물을 잡고 있나요?=T,T,T,,,,
,,,,,로봇 손이 비어 있나요?=T,T,T,,,,
,로봇 손이 폐기물을 잡고 있나요?=T,T,T,,로봇 손이 폐기물을 잡고 있나요?=T,T,T,,,,
,,,,,로봇 손이 비어 있나요?=T,T,T,,,,
,,,,,로봇 손이 폐기물을 잡고 있나요?=T,"T
 T","T
 T",,로봇 손이 폐기물을 잡고 있나요?=T,T,T
,,,,,로봇 손이 비어 있나요?=T,T,T,,,,
,로봇 손이 비어 있나요?=T,T,T,,화면에 표시된 폐기물이 일반쓰레기인가요?=T,T,T,,화면에 표시된 폐기물이 일반쓰레기인가요?=T,T,T
,,,,,로봇 손이 폐기물을 잡고 있나요?=T,T,T,,,,
,,,,,로봇 손이 비어 있나요?=T,T,T,,,,
,R2(s2),정답,사용자답,,R4(s1),정답,사용자답,,R5(s5),정답,사용자답
,,,,,"화면에 표시된 폐기물이 종이인가요?=T 
 화면에 표시된 폐기물이 일반 쓰레기인가요?=T 
 화면에 표시된 폐기물이 플라스틱인가요?=T 
 화면에 표시된 폐기물이 캔인가요?=T","T
 T
 T 
 T","T
 T
 T 
 T",,"A. 화면에 표시된 폐기물을 잡을까요? 
 B. 책상 위에 있는 폐기물의 종류를 확인할까요?",B,A
,,,,,,,,,"A. 첫 번째 폐기물을 잡을까요?
 B. 두 번쨰 폐기물을 잡을까요?",A,A
,,,,,,,,,,,
,,,,,,,,,"A. 책상 위에 있는 폐기물의 종류를 확인할까요?
 B. 화면에 표시된 폐기물을 잡을까요?",B,B
,,,,,,,,,,,
,,,,,로봇 손이 폐기물을 잡고 있나요?=T,T,T,,,,
,,,,,,,,,,,
,,,,,로봇 손이 폐기물을 잡고 있나요?=T,T,T,,,,
,,,,,,,,,"A. 지금 행동을 종료할까요?
 B. 화면에 표시된 폐기물을 잡을까요?",B,B
,,,,,,,,,,,
,,,,,,,,,,,
,R5(s5),정답,사용자답,,R3(s4),정답,사용자답,,R4(s4),정답,사용자답
,"A. 화면에 표시된 폐기물을 잡을까요? 
 B. 책상 위에 있는 폐기물의 종류를 확인할까요?",B,B,,"화면에 표시된 폐기물이 종이인가요?=T 
 화면에 표시된 폐기물이 종이인가요?=T","T
 T","T
T",,"화면에 표시된 폐기물이 종이인가요?=T 
 화면에 표시된 폐기물이 종이인가요?=T","T
 T","T
 T"
,"A. 첫 번째 폐기물을 잡을까요?
 B. 두 번쨰 폐기물을 잡을까요?",A,A,,,,,,,,
,,,,,로봇 손이 비어 있나요?=T,T,T,,,,
,"A. 책상 위에 있는 폐기물의 종류를 확인할까요?
 B. 화면에 표시된 폐기물을 잡을까요?",B,A,,,,,,로봇 손이 폐기물을 잡고 있나요?=T,T,T
,,,,,,,,,,,
,,,,,"화면에 표시된 폐기물이 캔인가요?=T 
 화면에 표시된 폐기물이 일반 쓰레기인가요?=T","T
 T","F
F",,,,
,,,,,,,,,,,
,,,,,,,,,로봇 손이 비어 있나요?=T,T,T
,"A. 지금 행동을 종료할까요?
 B. 화면에 표시된 폐기물을 잡을까요?",B,B,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,R1(s1),정답,사용자답,,R5(s2),정답,사용자답,,R1(s1),정답,사용자답
,"화면에 표시된 폐기물이 종이인가요?=T 
 화면에 표시된 폐기물이 일반 쓰레기인가요?=T 
 화면에 표시된 폐기물이 플라스틱인가요?=T 
 화면에 표시된 폐기물이 캔인가요?=T","T
 T
 T 
 T","T
 T
 T 
 T",,"A. 화면에 표시된 폐기물을 잡을까요?
 B.책상 위에 있는 폐기물의 종류를 확인할까요?",B,A,,"화면에 표시된 폐기물이 종이인가요?=T 
 화면에 표시된 폐기물이 일반 쓰레기인가요?=T 
 화면에 표시된 폐기물이 플라스틱인가요?=T 
 화면에 표시된 폐기물이 캔인가요?=T","T
 T
 T 
 T","T
 T
 T 
 T"
,로봇 손이 폐기물을 잡고 있나요?=T,T,T,,"A.첫 번째 폐기물을 잡을까요?
 B. 두 번째 폐기물을 잡을까요?",A,A,,로봇 손이 폐기물을 잡고 있나요?=T,T,T
,로봇 손이 비어 있나요?=T,T,T,,,,,,로봇 손이 비어 있나요?=T,T,T
,로봇 손이 폐기물을 잡고 있나요?=T,T,T,,,,,,로봇 손이 폐기물을 잡고 있나요?=T,T,T
,로봇 손이 비어 있나요?=T,T,T,,,,,,로봇 손이 비어 있나요?=T,T,T
,로봇 손이 폐기물을 잡고 있나요?=T,T,T,,"A. 책상 위에 있는 폐기물의 종류를 확인할까요?
 B. 화면에 표시된 폐기물을 잡을까요?",B,B,,로봇 손이 폐기물을 잡고 있나요?=T,T,T
,로봇 손이 비어 있나요?=T,T,T,,,,,,로봇 손이 비어 있나요?=T,T,T
,로봇 손이 폐기물을 잡고 있나요?=T,T,T,,,,,,로봇 손이 폐기물을 잡고 있나요?=T,T,T
,로봇 손이 비어 있나요?=T,T,T,,,,,,로봇 손이 비어 있나요?=T,T,T
,,,,,,,,,,,
,,,,,,,,,,,
,R3(s4),정답,사용자답,,R2(s5),정답,사용자답,,R2(s2),정답,사용자답
