source_file,sha256,domain,condition,scene
experiments_logs/gamma/20260917_010622_1860115/tomato/gamma_0-80/scene_01/run_1/exp_tomato_20260917_010627_257484.txt,1e3ce99f102ce97edbfeb6c0d94e7fae5aadd456946d0ba0d623a7c5961b5b95,tomato,0.8,01
experiments_logs/gamma/20260917_010622_1860115/tomato/gamma_0-90/scene_01/run_1/exp_tomato_20260917_010647_901530.txt,1fa9c8436f7d2d050183ca99ddfb048385263967efb48f005c48df88e40dc485,tomato,0.9,01
experiments_logs/gamma/20260917_010622_1860115/tomato/gamma_0-95/scene_01/run_1/exp_tomato_20260917_010653_401599.txt,180512e973cc8a08ffa98ad10e2aae085f65f64ffde330313d72173372704958,tomato,0.95,01
experiments_logs/gamma/20260917_010622_1860115/tomato/gamma_0-99/scene_01/run_1/exp_tomato_20260917_010659_896010.txt,914788d3ec33f6541014864b6e6d40e1ffbddab2668c4b975e3011773b12e565,tomato,0.99,01
experiments_logs/gamma/20260917_010622_1860115/tomato/gamma_0-80/scene_01/run_2/exp_tomato_20260917_010704_727868.txt,19be4a9a0e71cabd9450b02fcd411e9fcd7332233ff93272b656566a860eb1c4,tomato,0.8,01
experiments_logs/gamma/20260917_010622_1860115/tomato/gamma_0-90/scene_01/run_2/exp_tomato_20260917_010709_408024.txt,ff0a352cfbc2c37d823639d66fa9d31960a7067dd70d1afbd0313ca7aa4ab6ce,tomato,0.9,01
experiments_logs/gamma/20260917_010622_1860115/tomato/gamma_0-95/scene_01/run_2/exp_tomato_20260917_010713_703592.txt,2f44721f473043a716fcff6b40e3a67407caed21ef17808ed8bd4cc17f0e9f5d,tomato,0.95,01
experiments_logs/gamma/20260917_010622_1860115/tomato/gamma_0-99/scene_01/run_2/exp_tomato_20260917_010721_609954.txt,978e1f177687b66555bf749be73769e93af75061510b60bf134a83d217df0959,tomato,0.99,01
experiments_logs/gamma/20260917_010622_1860115/tomato/gamma_0-80/scene_01/run_3/exp_tomato_20260917_010726_459323.txt,c90a0f3b37ce13627ade05b672f2422e532cc610e25d8b0fc29ee32fdab0b131,tomato,0.8,01
experiments_logs/gamma/20260917_010622_1860115/tomato/gamma_0-90/scene_01/run_3/exp_tomato_20260917_010731_589670.txt,844044eb33491ddfe69050f52fabca2a1eea7631295296e53c00df1253ef6a25,tomato,0.9,01
experiments_logs/gamma/20260917_010622_1860115/tomato/gamma_0-95/scene_01/run_3/exp_tomato_20260917_010737_971187.txt,4f9935bcf441a13529f4ec5c923d69a60eb9dff77ad98720267d4389ed631949,tomato,0.95,01
experiments_logs/gamma/20260917_010622_1860115/tomato/gamma_0-99/scene_01/run_3/exp_tomato_20260917_010744_713148.txt,5193beb6901b4c489ccdb14af0113d920315801318a97a463739df7e2cb3a968,tomato,0.99,01
experiments_logs/gamma/20260917_010622_1860115/tomato/gamma_0-80/scene_01/run_4/exp_tomato_20260917_010749_775595.txt,8d96ed821349ca1ec01c3a59d4f9d7d3a6f9c2dd80611d549487d24ade301105,tomato,0.8,01
experiments_logs/gamma/20260917_010622_1860115/tomato/gamma_0-90/scene_01/run_4/exp_tomato_20260917_010755_497850.txt,9e0fc37f0d0dbf142eb52ac9d09e0bcd7e45ddcd1a555277c02a4ba5b15a1c50,tomato,0.9,01
experiments_logs/gamma/20260917_010622_1860115/tomato/gamma_0-95/scene_01/run_4/exp_tomato_20260917_010800_801691.txt,b3b1648cf32dccb5cf89f7d500ffbb36b73c207b8e827a05f6e351fbffa44080,tomato,0.95,01
experiments_logs/gamma/20260917_010622_1860115/tomato/gamma_0-99/scene_01/run_4/exp_tomato_20260917_010807_564574.txt,ba54989beb80fa90c65a96943a3de05ebd8409e62d5ee5072abc1d5dcb30e64b,tomato,0.99,01
experiments_logs/gamma/20260917_010622_1860115/tomato/gamma_0-80/scene_01/run_5/exp_tomato_20260917_010812_671007.txt,600eeb043655d1628a561deec471225d2d9841f3ce668d164042139b1a525eca,tomato,0.8,01
experiments_logs/gamma/20260917_010622_1860115/tomato/gamma_0-90/scene_01/run_5/exp_tomato_20260917_010818_756495.txt,e35dabbf1755adad8b0b619a161727764aade34ba8f0e221c43a09076c1f2672,tomato,0.9,01
experiments_logs/gamma/20260917_010622_1860115/tomato/gamma_0-95/scene_01/run_5/exp_tomato_20260917_010824_657199.txt,88ba89b56703625bc5cdb150b038e732d141ae72b5dd5f574c0aa92c2ad34e55,tomato,0.95,01
experiments_logs/gamma/20260917_010622_1860115/tomato/gamma_0-99/scene_01/run_5/exp_tomato_20260917_010832_469499.txt,bd8e82583828760e50a25c81704697f150c29b9512d1c0f1810a860344652a75,tomato,0.99,01
experiments_logs/gamma/20260917_010622_1860115/tomato/gamma_0-80/scene_01/run_6/exp_tomato_20260917_010839_517256.txt,3c5b83353335066fb176c4e5fce47223238d8a22b2d487e4705ffc3754ae06fa,tomato,0.8,01
experiments_logs/gamma/20260917_010622_1860115/tomato/gamma_0-90/scene_01/run_6/exp_tomato_20260917_010845_442179.txt,f0f4c7613f2378277834b0d18d6830df787efddce9117d55fd59f4fa7ef94e89,tomato,0.9,01
experiments_logs/gamma/20260917_010622_1860115/tomato/gamma_0-95/scene_01/run_6/exp_tomato_20260917_010851_896164.txt,f63b274155096fce0e43e6856e975d0d07285a1f6bbb2a249fc5ef56d275030a,tomato,0.95,01
experiments_logs/gamma/20260917_010622_1860115/tomato/gamma_0-99/scene_01/run_6/exp_tomato_20260917_010904_842687.txt,398538bad112fd95c62d2ed2a95547fbd23dfa00b0b3c20e7adcce639bcd1327,tomato,0.99,01
experiments_logs/gamma/20260917_010622_1860115/tomato/gamma_0-80/scene_01/run_7/exp_tomato_20260917_010911_051966.txt,4af6612575ec5726a3809dafe8ebc1c8f460809aa15e0c841f958c13dfaab344,tomato,0.8,01
experiments_logs/gamma/20260917_010622_1860115/tomato/gamma_0-90/scene_01/run_7/exp_tomato_20260917_010916_099635.txt,a50afe62b626977ebc9bd61539fe5328ece38e5b4e897f3ceb46abc5e9d9420c,tomato,0.9,01
