source_file,sha256,domain,condition,scene
experiments_logs/n_simulations/20260917_065010_2044001/tomato/sim_50/scene_01/run_1/exp_tomato_20260917_065011_677196.txt,fc6795d9dfa8ee5b08ad7bc88b77062432330728de981dc9d22e8c0adf9afabe,tomato,50,01
experiments_logs/n_simulations/20260917_065010_2044001/tomato/sim_100/scene_01/run_1/exp_tomato_20260917_065013_431697.txt,186cd54db87edf5a5d7cf4dc23279984d697e577ab4a61d6b1e11f8b6f2faa58,tomato,100,01
experiments_logs/n_simulations/20260917_065010_2044001/tomato/sim_200/scene_01/run_1/exp_tomato_20260917_065016_762289.txt,a559227dace7959cbff85acd8ef30d3143a02c7bce283407f5d74f43bbd7f598,tomato,200,01
experiments_logs/n_simulations/20260917_065010_2044001/tomato/sim_50/scene_01/run_2/exp_tomato_20260917_065017_645373.txt,d13ad71b3dc1e3e6343685e1a50fe9ae9120b9e2176fc898f715461153b6b6d0,tomato,50,01
experiments_logs/n_simulations/20260917_065010_2044001/tomato/sim_100/scene_01/run_2/exp_tomato_20260917_065019_357645.txt,bb91edbedebfac2cc36a43cc2078a141d223260feb874e9652e3fec994841f5e,tomato,100,01
experiments_logs/n_simulations/20260917_065010_2044001/tomato/sim_200/scene_01/run_2/exp_tomato_20260917_065022_899320.txt,3c81e47fd5efa2091591073ff2c2b3b1e3c6c406bbe9f8fb5c9b4d857ee1d8cd,tomato,200,01
experiments_logs/n_simulations/20260917_065010_2044001/tomato/sim_50/scene_01/run_3/exp_tomato_20260917_065023_837486.txt,530973e1f6b1a788e7f0472547fe2d30d4d0f67d2d15fd800915e3dc67448da4,tomato,50,01
experiments_logs/n_simulations/20260917_065010_2044001/tomato/sim_100/scene_01/run_3/exp_tomato_20260917_065025_583423.txt,ce72719d95f28808c1f3fb7f01564ca9955e1feae4784150dcb5236488c1fc85,tomato,100,01
experiments_logs/n_simulations/20260917_065010_2044001/tomato/sim_200/scene_01/run_3/exp_tomato_20260917_065029_033950.txt,7b7e5984b0e1715f9cdcfce630c0cc98d47da4823686b89ee37998f9d4196b33,tomato,200,01
experiments_logs/n_simulations/20260917_065010_2044001/tomato/sim_50/scene_01/run_4/exp_tomato_20260917_065029_978244.txt,ef9e143cd285b2d6a259c35ea3534a0d57ff603ff3dd32ee86625b5abc552715,tomato,50,01
experiments_logs/n_simulations/20260917_065010_2044001/tomato/sim_100/scene_01/run_4/exp_tomato_20260917_065031_662649.txt,6020f026462b2dc8b349622d30b30e589e793386e7c137eb68a5a3f86dd8bbc5,tomato,100,01
experiments_logs/n_simulations/20260917_065010_2044001/tomato/sim_200/scene_01/run_4/exp_tomato_20260917_065034_949246.txt,2ce15fc47302118f75d751ca9f45b76a935a59a035bb00f5293e30f48ab956e4,tomato,200,01
experiments_logs/n_simulations/20260917_065010_2044001/tomato/sim_50/scene_01/run_5/exp_tomato_20260917_065035_880821.txt,39b76a810ad482a1be89bb6c134b82c7c4c2e8aafef2b753b22dcc70b1438aa5,tomato,50,01
experiments_logs/n_simulations/20260917_065010_2044001/tomato/sim_100/scene_01/run_5/exp_tomato_20260917_065037_660994.txt,f9d83fef19e213ae2ff08bcf7fa376377bda8cf06427df3ecfe355a876ebac9a,tomato,100,01
experiments_logs/n_simulations/20260917_065010_2044001/tomato/sim_200/scene_01/run_5/exp_tomato_20260917_065041_270480.txt,ee2c0be36b846fd04655bb5e53f23c4b885fc65ad4054883221e5c0c08038f9e,tomato,200,01
